Poblacion,Estado,Tipo,Concesionario/Permisionario,Distintivo,Banda,Frecuencia (kHz),Potencia Diurna y Nocturna,Inicio,Fin,Latitud,Longitud,Altitud,
CD. OBREGÓN,SON.,(C),"EMPRESAS EDITORIALES DEL NOROESTE, S.A. DE C.V.",XERSV,AM,810,5 -D  N.A. -N,04/07/04,03/07/16,272921,1095606,33,
EL SIFÓN,SON.,(C),ARNOLDO RODRÍGUEZ ZERMEÑO,XESOS,AM,730,2 -D  0.3 -N,04/07/04,03/07/16,311505,1094431,1392,
ETCHOJOA,SON.,(P),COMISIÓN NACIONAL PARA EL DESARROLLO DE LOS PUEBLOS INDÍGENAS,XEETCH,AM,700,5 -D  N.A. -N,28/05/09,27/05/21,265439,1093731,12,
GUAYMAS,SON.,(C),"GILHAAM, S.A. DE C.V.",XEBQ,AM,1240,1 -D  1 -N,10/03/08,09/03/20,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO AMISTAD DE SONORA, S.A. DE C.V.",XEDR,AM,830,2.5 -D  N.A. ,04/07/04,03/07/16,275506,1105356,10,wiki
GUAYMAS,SON.,(C),"RADIO SONORA, S.A.",XEFX,AM,630,1 -D  0.25 -N,04/07/04,03/07/16,275506,1105356,10,wiki
HERMOSILLO,SON.,(C),"STEREOREY MÉXICO, S.A.",XEBH,AM,590,1 -D  1 -N,04/07/04,03/07/16,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XEPB,AM,950,10 -D  0.1 -N,04/07/04,03/07/16,290556,1105715,216,
HERMOSILLO,SON.,(P),UNIVERSIDAD DE SONORA,XEUS,AM,850,1 -D  0.2 -N,02/03/10,01/03/15,290556,1105715,216,
HERMOSILLO,SON.,(C),CARLOS DE JESÚS QUIÑONES ARMENDÁRIZ,XEVS,AM,1110,1 -D  0.25 -N,04/07/04,03/07/16,290556,1105715,216,
HUATABAMPO,SON.,(C),MANUEL OSWALDO ALVARADO QUINTERO,XEYO,AM,560,1 -D  0.5 -N,16/03/05,15/03/17,264939,1093832,8,
MAGDALENA DE KINO,SON.,(C),JESÚS L. ROCHIN,XEDJ,AM,1450,0.5 -D  0.5 -N,09/01/07,08/01/17,303737,1105803,757,
NAVOJOA,SON.,(C),SUCN. DE FAUSTO MARCO GÓMEZ COTA,XEGL,AM,1270,1 -D  0.5 -N,04/07/04,03/07/16,270451,1092643,40,
NOGALES,SON.,(C),"RADIO NOGALES, S. DE R.L.",XECG,AM,1240,1 -D  1 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
NOGALES,SON.,(C),"FORMULA RADIOFÓNICA, S.A. DE C.V.",XEHF,AM,1370,5 -D  5 -N,04/07/04,03/07/16,311907,1105645,1199,wiki
